TEXT
-1109	-526
449	-7087
1066	-13935
394	-18297
-1463	-18699
-3863	-15547
-5946	-10610
-7157	-5861
-7573	-2412
-7742	-172
-8089	1701
-8365	3958
-7623	6624
-4863	8948
30	9916
5774	8948
10112	6329
11044	3124
8151	650
3064	-180
-1335	707
-2591	2535
-185	4088
4130	4314
7442	2847
7536	194
4292	-2482
-323	-3895
-3633	-3245
-4068	-615
-2168	3044
-105	6338
-104	8072
-2893	7791
-7266	5956
-11033	3675
-12609	2128
-12046	2008
-10764	3220
-10212	4998
-10553	6327
-10435	6462
-8135	5283
-3229	3368
2518	1738
5905	1407
4338	2904
-2190	5942
-10653	9392
-16593	11652
-16843	11313
-11600	7905
-4400	2341
109	-3229
-818	-6259
-6186	-5024
-11858	344
-13233	7620
-8271	13322
1104	14335
10131	9550
14108	648
11188	-8510
3343	-13678
-5019	-12344
-9745	-5062
-9186	4761
-4678	12561
804	14937
4696	11368
6198	4381
6161	-1899
5889	-4033
5898	-1104
5582	4899
3919	10314
553	11925
-3663	8712
-7089	2257
-8342	-4377
-7161	-8514
-4476	-9326
-1658	-8004
405	-6614
1755	-6465
3033	-7130
4754	-6774
6799	-3576
8525	2745
9351	10403
9262	16435
8792	18492
8476	16340
8278	12040
7531	8638
5527	8178
2299	10356
-1074	12729
-3018	12359
-2569	7839
-216	348
2228	-6964
2775	-10867
681	-9987
-2878	-5547
-5471	-467
-5033	2523
-1385	2502
3462	693
6491	-618
5634	239
1188	3180
-4262	6493
-7392	8043
-6147	6683
-931	2958
5726	-1299
10717	-4100
12049	-4384
9637	-2418
4889	593
-421	3284
-5070	4766
-8549	4839
-10598	3834
-10755	2362
-8472	1126
-3771	775
2185	1674
7269	3620
9454	5723
8147	6687
4799	5516
2172	2238
2578	-1881
6174	-4938
10553	-5546
12065	-3779
8175	-1193
-621	237
-10624	-403
-16780	-2135
-15526	-2634
-6943	65
5113	5802
15028	11801
18458	14012
14622	9635
6567	-773
-675	-13071
-2926	-21544
926	-22067
8538	-14520
15644	-2939
18536	6736
16061	9973
10050	6056
4052	-1796
1195	-8548
2426	-10311
6138	-6370
9314	794
9478	7290
6247	10145
1550	8772
-1638	4865
-1267	1048
2330	-734
6467	-129
7688	1791
3995	3429
-3667	3645
-11678	2272
-15720	23
-13342	-1977
-5546	-2721
3644	-1677
9432	1058
9003	4791
3101	8425
-4517	10809
-9402	11174
-9038	9489
-4166	6535
1934	3593
5651	1867
5248	1942
1702	3566
-2226	5861
-3941	7810
-2614	8716
555	8394
3407	7079
4354	5184
3271	3112
1243	1195
-473	-293
-1387	-1169
-1921	-1431
-2767	-1314
-4084	-1213
-5250	-1454
-5373	-2075
-4115	-2797
-2078	-3256
-368	-3338
374	-3355
675	-3863
2002	-5205
5633	-7112
11385	-8686
17210	-8872
20100	-7152
17862	-3982
10628	-651
1067	1403
-6939	1408
-10366	-318
-8641	-2588
-3779	-4048
918	-3916
2744	-2312
914	-60
-3348	1840
-7814	2689
-10566	2307
-10840	972
-9036	-745
-6149	-2135
-3136	-2509
-588	-1443
1258	902
2396	3611
2994	5233
3374	4465
3893	984
4668	-4127
5318	-8763
5016	-10931
2978	-9965
-875	-7006
-5565	-4314
-9424	-3764
-11058	-5494
-10323	-7680
-8549	-7686
-7729	-3909
-9110	2918
-12144	9926
-14619	13765
-14031	12708
-9350	7801
-1974	2284
4877	-380
8049	1381
6431	6337
1713	11287
-2622	13024
-3449	10171
77	3775
6070	-3551
11168	-9217
12657	-11918
10060	-11853
5255	-10051
1157	-7461
-73	-4525
1853	-1398
5504	1574
8818	3683
10304	4226
9592	3119
7199	1203
3945	-109
583	314
-2161	2561
-3395	5574
-2190	7801
1864	8161
8009	6676
14217	4362
17951	2517
17499	1940
13047	2599
6707	3883
1354	5135
-1026	6026
-411	6538
1476	6696
2531	6395
1794	5524
61	4276
-863	3282
302	3340
3128	4821
5586	7211
5418	9194
1842	9349
-3673	7047
-8196	2943
-9223	-1312
-6398	-3975
-1847	-4149
1178	-2157
461	818
-3647	3511
-8410	5174
-10513	5656
-8314	5061
-3034	3417
1953	718
3299	-2687
-79	-5803
-6157	-7222
-10924	-5906
-10804	-2045
-4841	2712
4668	5998
13460	6104
17690	3127
15963	-928
9862	-3273
2816	-2035
-1891	2553
-2718	8243
-231	12109
3735	12272
7397	8928
9881	4082
11194	230
11565	-1113
10825	-126
8425	1717
4065	2767
-1585	2268
-6769	718
-9395	-574
-8270	-341
-4008	1935
1095	5833
4257	10274
3791	14028
96	16150
-4620	16226
-7719	14433
-7737	11451
-5176	8218
-1980	5568
-87	3861
-68	2833
-812	1831
-480	344
1947	-1488
5670	-2795
8392	-2499
7830	-130
3412	3627
-3054	7133
-8293	8729
-9550	7826
-6378	5371
-999	3297
3049	3241
3156	5395
-685	8309
-5874	9850
-8864	8686
-7430	5283
-2043	1669
4498	107
8880	1552
9326	4943
6522	7829
2906	7889
888	4342
1252	-1651
2799	-7770
3382	-11879
1537	-13035
-2447	-11600
-6714	-8601
-9074	-4979
-8372	-1284
-5061	2105
-671	4646
3339	5673
6458	4876
9129	2808
11974	860
14905	526
16873	2368
16486	5476
13053	7921
7293	8002
1149	5440
-3225	1637
-4637	-1246
-3451	-1771
-1232	-179
271	1898
133	2775
-1367	2110
-3130	1242
-4046	2169
-3639	5862
-2194	11189
-390	15349
1204	15621
2403	11247
3320	4099
4079	-2420
4607	-5522
4659	-4783
4027	-2276
2729	-1008
1035	-2771
-663	-6906
-2016	-10828
-2777	-11905
-2771	-9350
-1874	-4810
-98	-1268
2246	-1054
4482	-4345
5726	-9134
5290	-12597
3097	-12869
-168	-10042
-3324	-5842
-5276	-2364
-5562	-808
-4553	-1032
-3190	-2005
-2436	-2672
-2795	-2524
-4149	-1591
-5929	-90
-7441	1815
-8102	3878
-7523	5478
-5536	5604
-2291	3370
1562	-1197
4818	-6710
6015	-10831
4124	-11458
-697	-8015
-6778	-1942
-11456	4031
-12321	7455
-8582	7588
-1716	5745
5126	4320
8751	5124
7719	8119
3225	11374
-1534	12254
-3215	9061
-345	2083
5732	-6551
11576	-14048
13676	-18360
10573	-19009
3808	-16948
-2897	-13713
-5772	-10517
-3180	-7795
3424	-5365
10330	-2908
13682	-388
11631	1858
5285	3329
-2044	3662
-6781	2828
-7045	1154
-3514	-782
1235	-2340
4395	-3032
4560	-2760
2372	-1955
-119	-1492
-876	-2295
841	-4742
4085	-8191
6889	-11019
7483	-11305
5305	-7914
1230	-1362
-3006	6118
-5739	11523
-6095	12608
-4151	9179
-618	3337
3622	-1531
7793	-2535
11259	1136
13490	7742
14144	13896
13303	16355
11626	13711
10175	7076
9871	-574
10871	-5961
12322	-7110
12762	-4139
11030	1071
7111	6034
2334	8913
-1312	9201
-2354	7563
-760	5095
2027	2568
4003	138
3862	-2369
1768	-4895
-881	-6817
-2519	-7144
-2507	-5165
-1473	-1103
-655	3740
-757	7538
-1246	8915
-704	7727
1928	5115
6130	2745
9600	1700
9447	1765
4131	1606
-5134	-225
-14556	-4142
-19632	-9019
-17646	-12757
-9270	-13586
1754	-11274
10704	-7397
14450	-4447
12945	-4311
8807	-7096
5371	-11082
4581	-13808
6064	-13593
7858	-10511
8144	-6222
6648	-2855
4732	-1710
4168	-2627
5546	-4319
7550	-5325
7699	-4846
4099	-2967
-2994	-254
-10934	2793
-16036	5942
-15724	8976
-10129	11315
-2127	11990
4236	10148
5973	5775
2707	44
-3338	-5087
-8803	-7861
-11153	-7678
-9955	-5355
-6772	-2518
-3889	-566
-2743	62
-3077	-158
-3287	-524
-1677	-792
2236	-1259
7208	-2200
10904	-3169
11290	-2911
7937	-152
2419	5218
-2462	11485
-4208	15676
-2016	15174
2802	9411
7628	441
10108	-8122
9528	-13189
7156	-13962
5333	-12203
5862	-10823
8740	-11779
12056	-14762
13172	-17564
10458	-17825
4455	-14860
-2306	-10199
-6774	-6435
-7204	-5233
-4166	-5991
-87	-6215
2364	-3421
1954	2768
-483	9888
-2865	13926
-3502	11879
-2355	3903
-1004	-6433
-1317	-14063
-3821	-15346
-7010	-10182
-8215	-2022
-5520	4207
607	4942
7193	-98
10403	-7983
7952	-14423
701	-16193
-7675	-12727
-12834	-6106
-12354	335
-7134	3826
-692	3421
3124	137
2510	-3881
-1364	-6564
-5372	-6867
-6614	-5053
-4257	-2315
135	-21
3872	1007
4995	845
3432	289
735	273
-1239	1221
-1646	2731
-1012	3831
-471	3661
-591	2148
-771	183
278	-912
3331	-310
7684	1633
11221	3469
11589	3594
7716	1416
641	-2046
-6922	-4656
-12015	-4499
-12942	-1197
-9942	3724
-4733	7726
623	8857
4711	6969
7061	3720
7767	1369
6952	1225
4599	2849
847	4549
-3604	4754
-7478	3217
-9469	1127
-9024	89
-6767	776
-4195	2356
-2773	3170
-3045	2173
-4361	-7
-5408	-1312
-5140	272
-3444	5049
-1090	11027
925	14982
2089	14535
2616	9815
3067	3500
3740	-838
4383	-996
4485	2541
3902	7093
3226	9699
3505	9079
5439	6292
8664	3741
11772	3344
13173	5241
12250	7907
9926	9463
8129	9069
8404	7326
10654	5462
12939	4069
12633	2511
8208	-431
442	-5176
-7857	-10404
-13495	-13463
-14832	-12047
-12694	-5989
-9638	2192
-8078	8546
-8611	10045
-9724	6468
-9087	517
-5494	-3924
-14	-4255
4528	-678
5440	4177
2129	7166
-3268	6705
-7077	3592
-6346	141
-707	-1621
7399	-1331
14214	-300
16864	-279
14848	-1979
9953	-4477
4848	-5905
1422	-4845
-38	-1396
-461	2851
-934	5827
-1867	6229
-2948	4138
-3731	692
-4186	-2770
-4649	-5414
-5249	-7028
-5417	-7661
-4109	-7290
-759	-5881
3743	-3776
6997	-1925
6332	-1578
731	-3490
-7909	-7209
-15287	-11074
-16991	-13084
-11296	-12141
-638	-8805
9413	-4976
13266	-2661
8702	-2666
-1590	-4124
-11410	-5195
-14618	-4432
-8760	-1836
3468	1170
15774	2794
21874	2173
18943	-23
8932	-2119
-2878	-2680
-10994	-1555
-12569	19
-8400	322
-1780	-1630
3780	-5394
6437	-9402
6475	-11978
5383	-12309
4440	-10753
3834	-8345
2820	-5977
598	-3886
-2829	-1731
-6438	873
-8731	3883
-8626	6755
-6119	8771
-2348	9452
925	8730
2106	6829
469	4058
-3508	780
-8279	-2461
-11788	-4859
-12314	-5584
-9315	-4292
-3874	-1548
1569	1283
4256	2784
2515	2435
-3187	1081
-10229	430
-15025	1805
-14889	4984
-9540	8040
-1349	8474
5880	4995
8928	-1256
6802	-7006
1067	-8658
-5261	-4539
-9491	3884
-10593	12665
-9324	17583
-7254	16518
-5491	10532
-4030	3026
-2106	-2387
837	-3895
4392	-2163
7273	588
8212	2281
6970	2248
4673	1287
3143	693
3637	1119
5877	2140
8081	2753
8057	2301
4675	1032
-1228	-126
-7129	-345
-10144	443
-8622	1541
